Product ID,Product Name,Price,About this Item
B08PZD76NP,Apple,No price,No About this item
B0CSVG1668,Apple,No price," CARBON NEUTRAL — Apple Watch Ultra 2 paired with the latest Alpine Loop or Trail Loop is carbon neutral. Learn more about Apple’s commitment to the environment at apple.com/2030. WHY APPLE WATCH ULTRA 2 — Rugged, capable, and built to meet the demands of endurance athletes, outdoor adventurers, and water sport enthusiasts — with a specialized band for each. The S9 SiP enables a superbright display and a magical new way to quickly and easily interact with your Apple Watch without touching the display. Up to 36 hours of battery life and 72 hours in Low Power Mode. EXTREMELY RUGGED, INCREDIBLY CAPABLE — 49mm corrosion-resistant titanium case. Large Digital Crown and Customizable Action button for instant control over a variety of functions. 100m water resistance. BIGGEST, BRIGHTEST DISPLAY YET — Apple’s brightest Always-On Retina display is easy to see, even in direct sunlight. More room for adding complications to customize your watch face and enough space to view six metrics at once. THE FREEDOM OF CELLULAR — Cellular is built in. You can call and text without your iPhone, even overseas with international roaming. Stream your favorite music and podcasts. Get directions with Maps. FOR ATHLETES — Advanced metrics and views in the Workout app, including Heart Rate Zones, custom workouts, and new cycling workout views. Precision dual-frequency GPS provides incredible accuracy for calculating distance, pace, and route maps. Trail Loop is a light, thin, and flexible band, designed especially for all workout types. FOR OUTDOOR ADVENTURERS — The Compass app delivers helpful views and details like elevation, incline, longitude, and latitude. See the last place where you had cellular reception. Mark your location with Compass Waypoints. Backtrack uses GPS to map where you’ve been so you can retrace your steps. Alpine Loop is an extremely rugged and secure band to meet the needs of all outdoor adventurers. FOR WATER SPORTS ENTHUSIASTS — Made for recreational water sports, scuba, and free diving for descents to 40 meters. The Depth app shows the time, current depth, water temperature, duration under water, and maximum depth you’ve reached. The Oceanic+ app puts a dive computer on your wrist. Ocean Band is light and flexible, with a titanium buckle and adjustable loop for a secure fit even during high-speed water sports. ADVANCED HEALTH AND SAFETY FEATURES — Heart health notifications and the ECG app keep you informed and empowered when it comes to your health. Fall Detection and Crash Detection can connect you with emergency services in the event of a hard fall or a severe car crash. Hold the Action button to activate a siren that can be heard up to 600 feet away. LEGAL DISCLAIMERS — This is a summary of the main product features. See below to learn more. Show more"
B09V3JDWSL,Apple,$638.93,No About this item
B08PZHYWJS,Apple,No price,No About this item
B0CHXCXKPD,Apple,No price,No About this item
B0CX23GFMJ,Apple,No price,No About this item
B0932QJ2JZ,Apple,No price,No About this item
B0CX22K9TP,Apple,No price,No About this item
B0BSHGHGXR,Apple,No price,No About this item
B07PXGQC1Q,Apple,No price,No About this item
B0933N181W,2021 Apple TV HD (32GB),$179.95,No About this item
B0CX22JSR3,Apple,No price,No About this item
B0CHXDW29R,Apple,No price,No About this item
B0C2BMNHW2,Wireless Charger iPhone Charging Station: 3 in 1 Charger Stand Multiple Devices for Apple - iPhone 15 14 Pro Max 13 12 11 - Watch 9 8 7 6 5 4 3 2 Se - Airpods 3 2 Pro,$17.99,No About this item
B07SKLLYTW,Apple AirPods 2 with Charging Case - White (Renewed),$72.76," Automatically on, automatically connected Easy setup for all your Apple devices Quick access to Siri by saying “Hey Siri” Double-tap to play or skip forward New Apple H1 headphone chip delivers faster wireless connection to your devices Charges quickly in the case Case can be charged using the Lightning connector Rich, high-quality audio and voice Seamless switching between devices Listen and talk all day with multiple charges from the Charging Case Show more"
B0CHWYG96Z,Apple,$39.95,No About this item
B0D3J82K45,Apple,"$1,892.50",No About this item
B0CM5JV26D,Apple,No price,No About this item
