Product ID,Product Name,Price,About this Item
B09LKSN3DK,"Apple iPhone 13 Mini, 512GB, Pink - Unlocked (Renewed)",No price," 5.4"" Super Retina XDR display. 5G Superfast downloads, high?quality streaming Cinematic mode in 1080p at 30 fps. Dolby Vision HDR video recording up to 4K at 60 fps. 2X Optical zoom rang A15 Bionic chip. New 6-core CPU with 2 performance and 4 efficiency cores. New 4-core GPU. New 16-core Neural Engine Up to 17 hours video playback. Face ID. Ceramic Shield front. Aerospace-grade aluminum Water resistant to a depth of 6 meters for up to 30 minutes. Compatible with MagSafe accessories and wireless chargers"
B0CNM32TLW,Apple iPhone 7 32GB Unlocked - Black,No price," Preowned - Excellent Condition - Factory Unlocked - Compatible with All service Providers Minimum 80% Battery Life as compare to a new Includes Charger and Cable - Packed in Generic Box Sim card is not included 4.7-Inch Retina HD display; A10 Fusion; Accelerometer; Compass; Gyroscope 12MP iSight Camera with live Photos and 4K Video; 32GB of internal memory to store your apps, music, photos, and videos"
B09JFS4P67,"Apple iPhone 12 Pro, 512GB, Graphite - Unlocked (Renewed Premium)",No price," Unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.). Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity. Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information. Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card. Backed by a one-year satisfaction guarantee."
B09VY7RXJ9,TracFone,$189.00," iPhone SE features an all-new camera system powered by A15 Bionic, with a 12-megapixel ƒ/1.8 aperture Wide camera that offers incredible computational photography benefits, including Smart HDR 4, Photographic Styles, Deep Fusion, and Portrait mode. iPhone SE features the familiar Home button with Touch ID — an easy, private, and secure alternative for logging in to apps, authorizing App Store purchases, making Apple Pay transactions, and more. 64GB Built-In Memory Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network. A highly efficient chip, an enhanced battery, and iOS 15 work together to boost battery life."
B0CNL4VKWN,Apple iPhone 7 32GB Unlocked - Silver,No price," Preowned - Excellent Condition - Factory Unlocked - Compatible with All service Providers Minimum 80% Battery Life as compare to a new Includes Charger and Cable - Packed in Generic Box Sim card is not included 4.7-Inch Retina HD display; A10 Fusion; Accelerometer; Compass; Gyroscope 12MP iSight Camera with live Photos and 4K Video; 32GB of internal memory to store your apps, music, photos, and videos"
B09LPBHX8C,"Apple iPhone 13 Pro Max, 128GB, Gold - Verizon (Renewed)",$568.60," 6.7"" Super Retina XDR display with ProMotion. 5G Superfast downloads, high?quality streaming Cinematic mode in 1080p at 30 fps. Dolby Vision HDR video recording up to 4K at 60 fps. 6X Optical zoom range A15 Bionic chip. New 6-core CPU with 2 performance and 4 efficiency cores. New 5-core GPU. New 16-core Neural Engine Up to 28 hours video playback. Face ID. Ceramic Shield front. Surgical-grade stainless steel Water resistant to a depth of 6 meters for up to 30 minutes. Compatible with MagSafe accessories and wireless chargers"
B09G9Q28CY,Apple,No price,No About this item
B09G96VL88,Apple,No price,No About this item
B084GSXQT2,Apple,No price,No About this item
B07HD3KF7V,Apple,No price," 6.5"" OLED screen, HDR and 3D Touch Water Resistant for maximum depth of 2 meters up to 30 mins Dual 12 MP wide-angle and telephoto cameras Face ID Wireless Charging"
B07HCT49JK,Apple,No price," 6.1"" LCD screen Water Resistant for maximum depth of 1 meter up to 30 mins 12 MP camera Face ID Wireless Charging"
B09JFTPQY1,"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed Premium)",No price," Unlocked Compatibility: Works with GSM and CDMA networks like AT&T, T-Mobile, and Verizon. Battery Health: Guaranteed to have a battery that exceeds 90% of original capacity. Minimal Cosmetic Damage: Inspected and guaranteed to have minimal visible damage. Complete Set: Includes a charging cable, wall plug, and SIM tray removal tool. Satisfaction Guarantee: Backed by a one-year satisfaction guarantee."
B0BGQKY8S9,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed Premium)",$409.97," 6.1"" Super Retina XDR display. 5G Superfast downloads, high?quality streaming Cinematic mode in 1080p at 30 fps. Dolby Vision HDR video recording up to 4K at 60 fps. 2X Optical zoom range A15 Bionic chip. New 6-core CPU with 2 performance and 4 efficiency cores. New 4-core GPU. New 16-core Neural Engine Up to 19 hours video playback. Face ID. Ceramic Shield front. Aerospace-grade aluminum Water resistant to a depth of 6 meters for up to 30 minutes. Compatible with MagSafe accessories and wireless chargers"
