Product ID,Product Name,Price,About this Item
B0CWB2LWRN,"Lenovo LOQ 15AHP9 Gaming Laptop, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, 15.6” FHD Display, AMD Ryzen 7 8845HS, 16GB RAM, 512GB SSD, 1920x1080 px, Windows 11, Luna Grey",$999.99," MULTITASKING MASTER: The Lenovo LOQ laptop delivers powerhouse performance in a sleek, compact chassis that allows you to seamlessly transition between work, gaming, and streaming on the go POWER-PACKED PERFORMANCE: Dominate your gaming sessions with lightning-fast performance at home or on the move with the powerful AMD Ryzen 7 8845HS processor EXPERIENCE VIVID CLARITY: Immerse yourself in vibrant visuals—a 15.6"" 1920x1080 FHD display brings your graphics and games to life with stunning detail and precision DISCOVER SEAMLESS GAMING: Effortlessly juggle multiple applications and browser tabs without frustrating slowdowns, thanks to the generous 512GB SSD storage CONNECT ON THE FLY: Easily plug your accessories into the USB 2.0 and 3.0 ports for a heightened gaming experience QUICK POWER UP: Game wherever you are with up to six hours of battery life. When you're in a pinch, a 15-minute Rapid Charge provides an additional 2 hours of battery life STAY CURRENT: With NVIDIA GeForce RTX 4050 graphics, this gaming PC tackles the latest releases and titles with ease BRING YOUR GAME TO LIFE: Immerse yourself in your favorite games with two stereo speakers optimized with Nahimic Audio deliverying rich, crystal-clear sound TRAVEL WITH EASE: Designed with your mobile lifestyle in mind, this ultra-slim and lightweight laptop computer offers unparalleled portability for gaming on the go WORKING TOWARDS A BRIGHT FUTURE: As tech optimists who believe in both technology's potential and a diverse perspective, Lenovo looks to empower customers and employees to transform their world with smarter solutions designed by our global team Show more"
B0CJQVVSL2,"HP 17 Laptop, 17.3” HD+, Intel Quad Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Windows 11 Pro, Anti-Glare Display, Long Battery Life, Wi-Fi, Bluetooth, Webcam, HDMI, Alpacatec Accessories, Silver",$629.99," 【Processor】: 11th generation Intel Core i3-1125G4 processor (4 cores, 8 threads, 8 MB L3 smart cache, up to 3.7 GHz at maximum turbo frequency). 【Display】: 17.3 inch diagonal, HD+ (1600 x 900), anti-glare, 250 nits, 60% NTSC. 【RAM and Storage】: 32GB high-bandwidth RAM to smoothly run multiple applications and browser tabs at once; 1TB PCIe NVMe M.2 solid-state drive enables fast boot-up and data transfer. 【Other features】: Windows 11 Pro operating system, HP True Vision 720p HD camera with integrated digital microphone. Full-size keyboard with numeric keypad, dual speakers, up to 10 hours of battery life. 【Ports & Slots】: 2 x USB 3.0 Type A, 1 x USB 3.0 Type C, 1 x HDMI, 1 x Combined headphone/microphone output jack, 1 x multi-format SD card reader. › See more product details"
B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$299.99," Purposeful Design: Travel with ease and look great doing it with the Aspire's 3 thin, light design. Ready-to-Go Performance: The Aspire 3 is ready-to-go with the latest AMD Ryzen 3 7320U Processor with Radeon Graphics—ideal for the entire family, with performance and productivity at the core. Visibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD IPS display with 16:9 aspect ratio and narrow bezels. Internal Specifications: 8GB LPDDR5 Onboard Memory; 128GB NVMe solid-state drive storage to store your files and media The HD front-facing camera uses Acer’s TNR (Temporal Noise Reduction) technology for high-quality imagery in low-light conditions. Acer PurifiedVoice technology with AI Noise Reduction filters out any extra sound for clear communication over online meetings. Wireless Wi-Fi 6 Convenience: Maintain a strong, consistent wireless signal with Wi-Fi 6 (aka 802.11ax) and 2x2 MU-MIMO technology. Improved Thermals: With a 78% increase in fan surface area, enjoy an improved thermal system and an additional 17% thermal capacity. Allowing for longer, more efficient work sessions while not plugged in. Ports For All Your Accessories: 1 - USB Type-C Port USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB Type-C & USB Charging, 2 - USB 3.2 Gen 1 Ports, 1 - HDMI 2.1 Port with HDCP support, 1 - Headphone/Speaker/Line-Out Jack, DC-in for AC adapter What's In the Box: Acer Aspire Laptop, AC Adapter, Power Cord Keyboard backlight not present on this model Show more"
B0CPGKT77T,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",$299.00," 【High Speed RAM And Enormous Space】16GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; 128GB UFS SSD allows to fast bootup and data transfer 【Processor】Intel N200 Processor (4 Cores, 4 Threads, 6MB Intel Smart Cache, up to 3.7GHz Turbo) 【Display】15.6"" diagonal, HD (1366 * 768) Screen 【Tech Specs】2 x USB 3.0 Type-A, 1 x USB Type-C, 1 x HDMI, 1 x headphone/microphone combo, Numeric Keyboard, Webcam, Wi-Fi 5 and Bluetooth 【Operating System】Windows 11 Home - Beautiful, more consistent new design, Great window layout options, Better multi-monitor functionality, Improved performance features, New videogame selection and capabilities, Compatible with Android Apps › See more product details"
B0B2D77YB8,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$289.98," 【14"" HD Display】14.0-inch diagonal, HD (1366 x 768), micro-edge, BrightView. With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups 【Processor & Graphics】Intel Celeron N4120, 4 Cores & 4 Threads, 1.10 GHz Base Frequency, Up to 2.60 GHz Burst Frequency, 4 MB Cahce, Intel UHD Graphics 600, Handle multitasking reliably with the perfect combination of performance, power consumption, and value 【RAM & Storage】8GB high-bandwidth DDR4 Memory (2400 MHz), Adequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once. 64GB high-speed eMMC Storage for your office and webinar needs 【Ports】1 x USB 3.1 Type-C ports, 2 x USB 3.1 Type-A ports, 1 x HDMI, 1 x Headphone/Microphone Combo Jack, and there's a microSD slot 【Windows 11 Home in S mode】You may switch to regular windows 11: Press ""Start button"" bottom left of the screen; Select ""Settings"" icon above ""power"" icon;Select ""Activation"", then Go to Store; Select Get option under ""Switch out of S mode""; Hit Install. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.) › See more product details"
B0C3RNRB8W,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",$499.00," 【High Speed RAM And Enormous Space】32GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; 1TB PCIe NVMe M.2 Solid State Drive allows to fast bootup and data transfer 【Processor】11th Gen Intel Core i3-1125G4 Processor (4 Cores, 8 Threads, 8MB L3 Smart Cache, Clockspeed at 2.0 GHz, Up to 3.7 GHz at Max Turbo Frequency) 【Display】17.3"" diagonal, HD+ (1600 x 900), anti-glare, 250 nits, 60% NTSC 【Tech Specs】1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x HDMI 1.4b, 1 x Headphone/Microphone Combo; Wi-Fi and Bluetooth 【Authorized KKE Bundle】Bundled with KKE Mousepad › See more product details"
B0CYNDR42T,"HP Newest 15.6"" Rose Gold Laptop, 16GB Memory, 1TB SSD Storage, AMD Ryzen 3 3250U, Fingerprint Reader, SD Card Reader, HDMI, Webcam, Windows 11 Home, Bundled 250GB Portable SSD & Wireless Mouse",$479.00," Experience seamless performance with the AMD Ryzen 3 3250U, turbocharging up to 3.5 GHz, 4 MB L3 cache, and a dynamic 2 core, 4 thread design for efficient multitasking. Immerse yourself in stunning visuals on the 15.6"" diagonal HD display with micro-edge design, anti-glare technology, delivering 220 nits brightness and 45% NTSC color gamut for vibrant, glare-free viewing experiences. Remain connected and adaptable with a diverse array of ports, featuring 1 USB Type-C (for data transfer), 2 USB Type-A ports, 1 HDMI 1.4b port, and a multi-format SD media card reader. Additionally, enjoy the convenience of a headphone/microphone combo jack alongside the added security and convenience of a built-in fingerprint reader. Experience the latest in seamless functionality and user-friendly features with Windows 11 Home, designed to enhance productivity, creativity, and entertainment experiences on your device. 【Accessories】HP Portable SSD P500 (250GB external SSD), HP Wireless Mouse › See more product details"
B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$185.49," READY FOR ANYWHERE – With its thin and light design, 6.5 mm micro-edge bezel display, and 79% screen-to-body ratio, you’ll take this PC anywhere while you see and do more of what you love (1) MORE SCREEN, MORE FUN – With virtually no bezel encircling the screen, you’ll enjoy every bit of detail on this 14-inch HD (1366 x 768) display (2) ALL-DAY PERFORMANCE – Tackle your busiest days with the dual-core, Intel Celeron N4020—the perfect processor for performance, power consumption, and value (3) 4K READY – Smoothly stream 4K content and play your favorite next-gen games with Intel UHD Graphics 600 (4) (5) STORAGE AND MEMORY – An embedded multimedia card provides reliable flash-based, 64 GB of storage while 4 GB of RAM expands your bandwidth and boosts your performance (6) › See more product details"
B0CZL2SLCJ,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB Emmc+ 128GB USB Card), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",$349.00," 【Upgraded】Seal is opened for upgrade only, 1-Year warranty on Upgraded RAM/SSD and original 1-Year Manufacture warranty on remaining components. 【14"" HD BrightView Display】14-inch diagonal 1366 x 768 (HD) bright view display. The captivating clarity and brilliance will surely enhance your work and entertainment endeavors. 【Intel Celeron N4120】Immerse yourself in a world of power and efficiency, where an ultra-low-voltage platform optimizes energy usage. Experience seamless multitasking and smooth performance with the 4-core, 4-way processor. 【16GB DDR4 RAM】Seamlessly tackle resource-intensive tasks, smoothly run multiple applications simultaneously, and enjoy lightning-fast responsiveness that keeps you in the flow.【128GB eMMC】Massive storage space for your files, applications, and multimedia content, providing fast and reliable data access. 【Intel UHD Graphics】Enjoy solid image quality that brings your everyday content to life with vibrant colors and sharp details.【720p HD Camera】Provides high quality video calls, virtual meetings and online interactions. 【Windows 11 Home in S Mode】Embrace natural controls that empower you to think, express and create in an efficient way, all within an ultra-secure environment.【Dimensions & Weight】12.76 x 8.86 x 0.71 inches, 3.24 lbs.【Port & Accessories】1 x USB-C 3.0, 2 x USB-A 3.0, 1 x HDMI 1.4, 1 x Media Card Reader, 1 x Headphone/ Microphone combo, 1 x AC Smart Pin. Gold, 128GB Hotface USB Card › See more product details"
B0BZ8X9HGT,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$464.80," 【Memory & Storage】The PC memory has been upgraded to 32GB DDR4 SDRAM for enhanced high bandwidth to easily switch back and forth between open applications; the Hard drive has been upgraded to 1TB PCIe NVMe M.2 SSD for fast boot-up and speedy data transfer 【Processor】Intel Core i3-1115G4 Processor (2 Cores, 4 threads, 6MB L3 Cache, base at 3.00GHz, up to 4.10GHz), with Intel UHD Graphics 【Screen】15.6"" diagonal, HD (1366 x 768), touchscreen, micro-edge, BrightView, 220 nits, 45% NTSC 【Tech Specs】1 SuperSpeed USB Type-C, 2 SuperSpeed USB Type-A, 1 HDMI, 1 AC smart pin, 1 Headphone/Microphone combo; Wi-Fi and Bluetooth 【Operating System】Windows 11 Home - Beautiful, more consistent new design, Great window layout options, Better multi-monitor functionality, Improved performance features, New videogame selection and capabilities, Compatible with Android Apps › See more product details"
