Product ID,Product Name,Price,Images,About this Item
B0CX1PNZN2,TECNO POVA 6 PRO 5G (16GB*+256GB) | 108MP Camera + 32MP Selfie Camera | 120Hz Dot-in AMOLED Display | Dual Speakers with Dolby Atmos | 6000mAh & 70W Charger | Arc Interface | Comet Green,"₹19,999",https://m.media-amazon.com/images/I/61Nr811Q+cL._AC_UY218_.jpg, India’s first 6000mAh battery with superfast charger featuring 70W output | 50% battery in just 19 minutes | Improved Battery optimization | Ultra Power Saving No hanging with up to a massive 16GB*RAM up to 256GB ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.78-inch AMOLED Display | Dynamic Port 2.0 to track multiple notifications | 120Hz refresh rate for smooth scrolling experience Backlit ARC Interface | Dynamic Mini LEDs Lights |Customized Light effects Dual Stereo Speakers equipped with Dolby Atmos 108MP Dual Rear Camera f/1.89 Aperture | 3X In-Sensor Zoom | 32MP Selfie Camera f/2.0 Aperture| Dual Tone LED Flash MediaTek Dimensity 6080 highly efficient 6nm 5G Processor | 2.4GHz powerful A76 octa-core Processor with 400K+ antutu score | 10 5G Bands support | HyperEngine 3.0 Lite HDR Photography | Time Lapse | Super Night Photography | AI Auto Scene Detection | Noise Reduction › See more product details
B0CQ7SHTF4,"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","₹6,799",https://m.media-amazon.com/images/I/61G6ef-AH-L._AC_UY218_.jpg," With up to a massive 8GB* of RAM & 64GB of ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.56-inch Dot-in Display | Dynamic Port to track all notifications | 90Hz refresh rate for smooth scrolling experience Segment-first Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition} Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | 0.2 sec Faster unlock | 0.65 sec Face unlock Massive 5000mAh battery with our versatile Type-C charger featuring a 10W output | Improved Battery optimization Robust Octa-Core T606 processor provides incredibly fast performance | Arm Cortex A-75 CPU| No Room for hanging complaints 12MP Dual Rear Camera f/1.85 Aperture | 8MP Dual Flashlight Front Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Time-Lapse 8.55mm Ultra sleek design| Premium Dot-in style Front | Superior Texture › See more product details"
B0CQ7RQ5RK,"TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","₹6,799",https://m.media-amazon.com/images/I/61wbxpNaD1L._AC_UY218_.jpg," With up to a massive 8GB* of RAM & 64GB of ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.56-inch Dot-in Display | Dynamic Port to track all notifications | 90Hz refresh rate for smooth scrolling experience Segment-first Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition} Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | 0.2 sec Faster unlock | 0.65 sec Face unlock Massive 5000mAh battery with our versatile Type-C charger featuring a 10W output | Improved Battery optimization Robust Octa-Core T606 processor provides incredibly fast performance | Arm Cortex A-75 CPU| No Room for hanging complaints 12MP Dual Rear Camera f/1.85 Aperture | 8MP Dual Flashlight Front Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Time-Lapse 8.55mm Ultra sleek design| Premium Dot-in style Front | Superior Texture › See more product details"
B0CQ7S3LJT,"TECNO POP 8 (Alpenglow Gold,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","₹6,799",https://m.media-amazon.com/images/I/61luwQe5iiL._AC_UY218_.jpg," With up to a massive 8GB* of RAM & 64GB of ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.56-inch Dot-in Display | Dynamic Port to track all notifications | 90Hz refresh rate for smooth scrolling experience Segment-first Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition} Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | 0.2 sec Faster unlock | 0.65 sec Face unlock Massive 5000mAh battery with our versatile Type-C charger featuring a 10W output | Improved Battery optimization Robust Octa-Core T606 processor provides incredibly fast performance | Arm Cortex A-75 CPU| No Room for hanging complaints 12MP Dual Rear Camera f/1.85 Aperture | 8MP Dual Flashlight Front Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Time-Lapse 8.55mm Ultra sleek design| Premium Dot-in style Front | Superior Texture › See more product details"
B0CDWN2YBP,"TECNO Spark 10C (Magic Skin Orange, 8GB RAM,128GB Storage)|16GB Expandable RAM | 90Hz Refresh Rate 6.6"" HD+Dot Display | 16MP AI Dual Rear Camera","₹7,699",https://m.media-amazon.com/images/I/61fbAVbPeML._AC_UY218_.jpg," 8GB LPDDR4x Physical RAM with 8GB Customizable memory fusion RAM for absolute fast response | 128GB UFS2.2 internal storage, which provides ample space for storing your photos, videos, music, and other files 16MP F1.8 larger Aperture and PDAF Primary Camera | SuperNight, AI Portrait, Pro mode, Smile Shot, Slow Motion, Time Lapse and many modes for mesmerizing shots 6.6HD+ dot display, 90Hz refresh rate for overall improved visual fluency | 180Hz touch Sampling Rate for grater gaming experience Octa core efficient Processor | Ultra fast side Fingerprint Sensor 5000mAh battery with 26 days standby time | 10W in-box Type C Charger, faster charging › See more product details"
B0CMZKMS4V,"TECNO Spark Go 2024 (Magic Skin Green,6GB* RAM, 64GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor","₹7,099",https://m.media-amazon.com/images/I/61OWPJmPZ5L._AC_UY218_.jpg," Looks for Function with Style: Segment first 6.56-inch Dot-in Display and Dynamic Port, the 90Hz refresh rate ensures a smooth scrolling experience. ""Bounce on Dual Stereo Speaker: Segment-first Dual Stereo Speakers equipped with DTS technology provide a fully immersive listening experience of up to 400%* volume than a single speaker. (*Basis internal test data under standard condition)"" Deserves a Best in Class Security: This device with Anti-oil Side Fingerprint Unlocking is built for comfort and efficiency, allowing you to easily unlock it, with a touch of your fingertip. ""Powered by Massive Storage: Capable of managing multiple applications and tasks simultaneously, with up to 6GB* of RAM & 64GB of ROM, It includes a dedicated SD card slot for up to 1TB expansion. (*With Memory Fusion)"" Thrive on Unbeatable Performance: Our Octa-Core T606 processor delivers lightning-fast performance, stepping in at an astonishing peak frequency, leaving no room for hanging or lagging complaints. Captured in Magical Frames: 13MP dual camera with wide aperture and HDR for sharpness. 8MP selfie camera with beauty enhancements and dual flash for ideal lighting. Fueled by Uninterrupted Power: Experience an endless realm of films and music with this massive 5000mAh battery. Boost your experience by using a versatile Type-C charger with 10W. Beautifully crafted design: 8.55mm slim and bold flat design. Keep up with the latest industry trends. Its straight lines and rounded corners give it a tough and trendy look › See more product details"
B0CDWNXR13,"TECNO Spark 10C (Magic Skin Blue, 8GB RAM,128GB Storage)|16GB Expandable RAM | 90Hz Refresh Rate 6.6"" HD+Dot Display | 16MP AI Dual Rear Camera","₹7,699",https://m.media-amazon.com/images/I/61fbwTSDwmL._AC_UY218_.jpg," 8GB LPDDR4x Physical RAM with 8GB Customizable memory fusion RAM for absolute fast response | 128GB UFS2.2 internal storage, which provides ample space for storing your photos, videos, music, and other files 16MP F1.8 larger Aperture and PDAF Primary Camera | SuperNight, AI Portrait, Pro mode, Smile Shot, Slow Motion, Time Lapse and many modes for mesmerizing shots 6.6HD+ dot display, 90Hz refresh rate for overall improved visual fluency | 180Hz touch Sampling Rate for grater gaming experience Octa core efficient Processor | Ultra fast side Fingerprint Sensor 5000mAh battery with 26 days standby time | 10W in-box Type C Charger, faster charging › See more product details"
B0CSJYD8K4,"TECNO Spark 20C | Mystery White, (16GB*+128GB) | 50MP Main Camera + 8MP Selfie| 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS | 5000mAh Battery |18W Type-C | Helio G36 Processor","₹7,999",https://m.media-amazon.com/images/I/61iI4i1KmqL._AC_UY218_.jpg," With up to a massive 16GB* RAM and 128GB ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.56-inch Dot-in Display | Dynamic Port to track multiple notifications | 90Hz refresh rate for smooth scrolling experience Segment-first Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition} Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | Quickly Unlock in 0.65 seconds | Face unlock in 0.1 seconds Massive 5000mAh battery with our versatile Type-C charger featuring 18W output | Improved Battery optimization | Ultra Power Saving 2.2Ghz Octa Core CPU | Robust Helio G36 processor provides incredibly fast performance 50MP + AI Dual Rear Camera f/1.6 Aperture | 8MP Dual Flashlight Selfie Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Time-Lapse | Ultra Clear Low Light Shot | Smile Shot 8.55mm Ultra sleek design | Premium Dot-in Display › See more product details"
B0CSKBQFMM,"TECNO Spark 20 | Gravity Black, (16GB*+256GB)| 32MP Selfie + 50MP Main Camera| 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |18W Type-C| Helio G85 Processor","₹8,999",https://m.media-amazon.com/images/I/615Q6FmdZmL._AC_UY218_.jpg," With up to a massive 16GB* RAM and 256GB ROM | Includes a dedicated SD card slot for up to 1TB expansion {*With Memory Fusion} 6.56-inch Dot-in Display | Dynamic Port to track multiple notifications | 90Hz refresh rate for smooth scrolling experience Dual Stereo Speakers equipped with DTS technology | Experience up to an impressive 400%* increase in volume, delivering a fully immersive sound {*Basis internal test data under standard condition} Ultra-Fast Side Edge Fingerprint Sensor with Anti-oil | Face unlock in Fraction of seconds Massive 5000mAh battery with our versatile Type-C charger featuring 18W output | Improved Battery optimization | Ultra Power Saving Robust Helio G85 processor provides incredibly fast performance | Arm Cortex A-75 CPU | Powerful experience for Gaming Users 50MP Dual Rear Camera f/1.6 Aperture | 32MP Dual Flashlight Selfie Camera f/2.0 Aperture| HDR Photography | Super Night Photography | AI Auto Scene Detection | Noise Reduction | Multi-frame fusion | Selfie Clarity with 3 Light Modes Minimalist Square Shape | Comfortable Hand Grip | 3-Ring Metallic Design | Superior Texture › See more product details"
B0CMZRNLL1,"TECNO Spark GO 2024 (Mystery White,8GB* RAM, 128GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor","₹7,599",https://m.media-amazon.com/images/I/612AVBd3klL._AC_UY218_.jpg," Looks for Function with Style: Segment first 6.56-inch Dot-in Display and Dynamic Port, the 90Hz refresh rate ensures a smooth scrolling experience. ""Bounce on Dual Stereo Speaker: Segment-first Dual Stereo Speakers equipped with DTS technology provide a fully immersive listening experience of up to 400%* volume than a single speaker. (*Basis internal test data under standard condition)"" Deserves a Best in Class Security: This device with Anti-oil Side Fingerprint Unlocking is built for comfort and efficiency, allowing you to easily unlock it, with a touch of your fingertip. ""Powered by Massive Storage: Capable of managing multiple applications and tasks simultaneously, with up to 6GB* of RAM & 64GB of ROM, It includes a dedicated SD card slot for up to 1TB expansion. (*With Memory Fusion)"" Thrive on Unbeatable Performance: Our Octa-Core T606 processor delivers lightning-fast performance, stepping in at an astonishing peak frequency, leaving no room for hanging or lagging complaints. Captured in Magical Frames: 13MP dual camera with wide aperture and HDR for sharpness. 8MP selfie camera with beauty enhancements and dual flash for ideal lighting. Fueled by Uninterrupted Power: Experience an endless realm of films and music with this massive 5000mAh battery. Boost your experience by using a versatile Type-C charger with 10W. Beautifully crafted design: 8.55mm slim and bold flat design. Keep up with the latest industry trends. Its straight lines and rounded corners give it a tough and trendy look › See more product details"
